_id,ObjectId,Year,Category,Type,Count_
157,157,2014,Languages,Croatian,12
158,158,2014,Languages,Farsi,165
159,159,2014,Languages,French,171
160,160,2014,Languages,German,7
161,161,2014,Languages,Greek,25
162,162,2014,Languages,Hindi,12
163,163,2014,Languages,Hungarian,173
164,164,2014,Languages,Italian,110
165,165,2014,Languages,Japanese,43
166,166,2014,Languages,Korean,175
167,167,2014,Languages,Polish,69
168,168,2014,Languages,Portuguese,147
169,169,2014,Languages,Punjabi,46
170,170,2014,Languages,Russian,201
171,171,2014,Languages,Somali,30
172,172,2014,Languages,Spanish ,493
173,173,2014,Languages,Tamil,235
174,174,2014,Languages,Turkish,39
175,175,2014,Languages,Urdu,19
176,176,2014,Languages,Vietnamese,157
177,177,2021,Calls Received,Emergency,1101970
178,178,2021,Calls Received,Non-Emergency,647004
179,179,2020,Calls Received,Emergency,1039663
180,180,2020,Calls Received,Non-Emergency,642445
181,181,2019,Calls Received,Emergency,1136123
182,182,2019,Calls Received,Non-Emergency,807256
183,183,2018,Calls Received,Emergency,1094182
184,184,2018,Calls Received,Non-Emergency,838363
185,185,2017,Calls Received,Emergency,996467
186,186,2017,Calls Received,Non-Emergency,848711
187,187,2016,Calls Received,Emergency,962722
188,188,2016,Calls Received,Non-Emergency,843538
189,189,2015,Calls Received,Emergency,991872
190,190,2015,Calls Received,Non-Emergency,806024
191,191,2014,Calls Received,Emergency,1075770
192,192,2014,Calls Received,Non-Emergency,850420
193,193,2021,Alarm Calls,Valid Alarms,819
194,194,2021,Alarm Calls,False Alarms,4446
195,195,2020,Alarm Calls,Valid Alarms,781
196,196,2020,Alarm Calls,False Alarms,5075
197,197,2019,Alarm Calls,Valid Alarms,775
198,198,2019,Alarm Calls,False Alarms,5978
199,199,2018,Alarm Calls,Valid Alarms,787
200,200,2018,Alarm Calls,False Alarms,11629
201,201,2017,Alarm Calls,Valid Alarms,608
202,202,2017,Alarm Calls,False Alarms,18120
203,203,2016,Alarm Calls,Valid Alarms,526
204,204,2016,Alarm Calls,False Alarms,21538
205,205,2015,Alarm Calls,Valid Alarms,509
206,206,2015,Alarm Calls,False Alarms,22653
207,207,2014,Alarm Calls,Valid Alarms,436
208,208,2014,Alarm Calls,False Alarms,23914
